periodo,ipc,pais,fuente,indicador
2007-01,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-02,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-03,2.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-04,2.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-05,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-06,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-07,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-08,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-09,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-10,3.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-11,4.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2007-12,4.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-01,4.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-02,4.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-03,4.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-04,4.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-05,4.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-06,5.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-07,5.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-08,4.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-09,4.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-10,3.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-11,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2008-12,1.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-01,0.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-02,0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-03,-0.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-04,-0.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-05,-0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-06,-1.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-07,-1.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-08,-0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-09,-0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-10,-0.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-11,0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2009-12,0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-01,0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-02,0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-03,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-04,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-05,2.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-06,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-07,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-08,1.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-09,2.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-10,2.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-11,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2010-12,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-01,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-02,3.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-03,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-04,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-05,3.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-06,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-07,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-08,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-09,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-10,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-11,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2011-12,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-01,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-02,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-03,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-04,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-05,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-06,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-07,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-08,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-09,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-10,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-11,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2012-12,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-01,2.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-02,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-03,2.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-04,1.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-05,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-06,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-07,1.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-08,1.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-09,0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-10,0.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-11,0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2013-12,0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-01,0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-02,0.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-03,-0.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-04,0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-05,0.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-06,0.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-07,-0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-08,-0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-09,-0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-10,-0.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-11,-0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2014-12,-1.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-01,-1.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-02,-1.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-03,-0.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-04,-0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-05,-0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-06,0.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-07,0.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-08,-0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-09,-1.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-10,-0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-11,-0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2015-12,-0.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-01,-0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-02,-1.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-03,-1.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-04,-1.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-05,-1.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-06,-0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-07,-0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-08,-0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-09,0.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-10,0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-11,0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2016-12,1.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-01,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-02,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-03,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-04,2.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-05,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-06,1.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-07,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-08,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-09,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-10,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-11,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2017-12,1.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-01,0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-02,1.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-03,1.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-04,1.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-05,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-06,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-07,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-08,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-09,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-10,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-11,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2018-12,1.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-01,1.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-02,1.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-03,1.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-04,1.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-05,0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-06,0.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-07,0.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-08,0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-09,0.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-10,0.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-11,0.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2019-12,0.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-01,1.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-02,0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-03,0.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-04,-0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-05,-0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-06,-0.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-07,-0.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-08,-0.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-09,-0.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-10,-0.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-11,-0.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2020-12,-0.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-01,0.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-02,-0.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-03,1.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-04,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-05,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-06,2.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-07,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-08,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-09,4.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-10,5.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-11,5.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2021-12,6.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-01,6.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-02,7.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-03,9.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-04,8.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-05,8.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-06,10.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-07,10.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-08,10.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-09,9.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-10,7.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-11,6.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2022-12,5.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-01,5.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-02,6.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-03,3.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-04,3.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-05,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-06,1.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-07,2.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-08,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-09,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-10,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-11,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2023-12,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-01,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-02,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-03,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-04,3.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-05,3.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-06,3.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-07,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-08,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-09,1.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-10,1.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-11,2.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2024-12,2.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-01,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-02,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-03,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-04,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-05,2.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-06,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-07,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-08,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-09,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-10,3.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-11,3.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2025-12,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
